commit_sha,strategy,tests_available,tests_selected,failures_available,failures_detected,duration_available,duration_selected,abstained,escaped,failure_recall,time_reduction
mut_f3f4f8e28edf,1. Full Test Suite,365.0,365.0,4.0,4.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f489b8cff73f,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_f4a038057e54,1. Full Test Suite,349.0,349.0,179.0,179.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f4c73147e9af,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_f4d6b2ad1e1c,1. Full Test Suite,507.0,507.0,9.0,9.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_f4e26f1d8b05,1. Full Test Suite,895.0,895.0,8.0,8.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_f584f6b9da37,1. Full Test Suite,349.0,349.0,7.0,7.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f58e4bd61135,1. Full Test Suite,349.0,349.0,3.0,3.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f5b94d22319e,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
mut_f5cbb94c9f6d,1. Full Test Suite,191.0,191.0,0.0,0.0,2.2197,2.2196999999999987,0.0,0.0,,5.684341886080802e-14
mut_f5edfd2c8d26,1. Full Test Suite,507.0,507.0,0.0,0.0,3.8465999999999636,3.8465999999999925,0.0,0.0,,-7.531752999057062e-13
mut_f657c1e78461,1. Full Test Suite,349.0,349.0,3.0,3.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f6d3d796a500,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_f726806a29dd,1. Full Test Suite,365.0,365.0,127.0,127.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f81ebf6603d2,1. Full Test Suite,191.0,191.0,1.0,1.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_f851c9c08a7b,1. Full Test Suite,349.0,349.0,68.0,68.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f85ae10d679a,1. Full Test Suite,191.0,191.0,17.0,17.0,2.2197,2.2196999999999987,0.0,0.0,100.0,5.684341886080802e-14
mut_f87aba4bda98,1. Full Test Suite,895.0,895.0,2.0,2.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_f8c65688bc5f,1. Full Test Suite,365.0,365.0,4.0,4.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_f8da1dc96e6e,1. Full Test Suite,349.0,349.0,0.0,0.0,2.321400000000014,2.321399999999999,0.0,0.0,,6.536993168992922e-13
mut_f8dc35c233f1,1. Full Test Suite,895.0,895.0,2.0,2.0,0.07280000000000002,0.07280000000000006,0.0,0.0,100.0,-7.105427357601002e-14
mut_f8e011568a6e,1. Full Test Suite,349.0,349.0,6.0,6.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f90d8b063f24,1. Full Test Suite,349.0,349.0,4.0,4.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f955c7586f9e,1. Full Test Suite,349.0,349.0,0.0,0.0,2.321400000000014,2.321399999999999,0.0,0.0,,6.536993168992922e-13
mut_f9a092a9f938,1. Full Test Suite,349.0,349.0,2.0,2.0,2.321400000000014,2.321399999999999,0.0,0.0,100.0,6.536993168992922e-13
mut_f9fa994b822d,1. Full Test Suite,895.0,895.0,0.0,0.0,0.07280000000000002,0.07280000000000006,0.0,0.0,,-7.105427357601002e-14
mut_fa9c05c3dc3f,1. Full Test Suite,365.0,365.0,7.0,7.0,4.793700000000005,4.793700000000021,0.0,0.0,100.0,-3.268496584496461e-13
mut_fb34793e6bc2,1. Full Test Suite,507.0,507.0,1.0,1.0,3.8465999999999636,3.8465999999999925,0.0,0.0,100.0,-7.531752999057062e-13
